0,12.293,7.9338,3.6926,4.0655,6.7061,2.5575,2.2712,2.6413,7.5015,8.2307,4.7801,8.2408,8.978
12.293,0,15.12,16.37,12.72,12.488,15.433,13.429,16.293,14.128,17.955,12.803,11.306,16.975
7.9338,15.12,0,11.952,9.036,10.297,9.8814,8.711,9.9107,12.006,14.681,9.299,9.6682,13.795
3.6926,16.37,11.952,0,6.1593,9.7382,4.4584,3.6423,16.96,12.348,24.493,6.7011,9.1186,23.313
4.0655,12.72,9.036,6.1593,0,6.9574,4.8252,4.5282,5.1389,8.4915,12.026,7.9532,9.7064,9.949
6.7061,12.488,10.297,9.7382,6.9574,0,8.5951,7.0323,7.7318,9.1707,10.115,7.7853,13.316,11.699
2.5575,15.433,9.8814,4.4584,4.8252,8.5951,0,1.3382,1.6264,8.9343,20.617,6.8532,8.8966,17.323
2.2712,13.429,8.711,3.6423,4.5282,7.0323,1.3382,0,1.9147,8.0618,9.302,5.2105,8.4438,9.8516
2.6413,16.293,9.9107,16.96,5.1389,7.7318,1.6264,1.9147,0,10.465,12.616,7.4739,9.8701,12.709
7.5015,14.128,12.006,12.348,8.4915,9.1707,8.9343,8.0618,10.465,0,11.667,8.7939,9.3367,11.708
8.2307,17.955,14.681,24.493,12.026,10.115,20.617,9.302,12.616,11.667,0,10.065,10.742,14.701
4.7801,12.803,9.299,6.7011,7.9532,7.7853,6.8532,5.2105,7.4739,8.7939,10.065,0,8.8548,10.163
8.2408,11.306,9.6682,9.1186,9.7064,13.316,8.8966,8.4438,9.8701,9.3367,10.742,8.8548,0,10.987
8.978,16.975,13.795,23.313,9.949,11.699,17.323,9.8516,12.709,11.708,14.701,10.163,10.987,0
